stim,correct_key,block,img_folder,top_img,bottom_img,left_img,right_img,top_key,bottom_key,left_key,right_key,set_size
1,3,1,3,2,0,1,3,0,2,3,1,6
2,0,1,3,2,0,3,1,0,2,3,1,6
3,3,1,3,1,0,3,2,0,2,3,1,6
3,2,1,3,2,3,1,0,0,2,3,1,6
2,0,1,3,2,1,3,0,0,2,3,1,6
3,3,1,3,0,1,3,2,0,2,3,1,6
0,0,1,3,0,3,2,1,0,2,3,1,6
3,2,1,3,1,3,0,2,0,2,3,1,6
3,1,1,3,2,0,1,3,0,2,3,1,6
0,0,1,3,0,2,1,3,0,2,3,1,6
3,3,1,3,0,2,3,1,0,2,3,1,6
3,2,1,3,2,3,1,0,0,2,3,1,6
3,1,1,3,0,1,2,3,0,2,3,1,6
3,3,1,3,2,1,3,0,0,2,3,1,6
1,1,1,3,2,3,0,1,0,2,3,1,6
3,2,1,3,0,3,2,1,0,2,3,1,6
3,3,1,3,0,1,3,2,0,2,3,1,6
3,0,1,3,3,1,0,2,0,2,3,1,6
1,2,1,3,2,1,0,3,0,2,3,1,6
2,1,1,3,1,0,3,2,0,2,3,1,6
1,0,1,3,1,2,0,3,0,2,3,1,6
0,2,1,3,1,0,2,3,0,2,3,1,6
1,3,1,3,3,0,1,2,0,2,3,1,6
1,2,1,3,2,1,3,0,0,2,3,1,6
0,0,1,3,0,1,2,3,0,2,3,1,6
0,1,1,3,2,1,3,0,0,2,3,1,6
0,2,1,3,2,0,3,1,0,2,3,1,6
2,1,1,3,3,1,0,2,0,2,3,1,6
2,0,1,3,2,1,3,0,0,2,3,1,6
0,1,1,3,1,3,2,0,0,2,3,1,6
2,3,1,3,3,0,2,1,0,2,3,1,6
1,1,1,3,2,0,3,1,0,2,3,1,6
4,1,2,3,3,0,1,2,0,2,3,1,6
1,2,2,3,2,0,1,3,0,2,3,1,6
2,3,2,3,2,3,1,0,0,2,3,1,6
2,1,2,3,3,2,0,1,0,2,3,1,6
5,3,2,3,3,0,1,2,0,2,3,1,6
4,0,2,3,2,0,1,3,0,2,3,1,6
4,3,2,3,1,3,2,0,0,2,3,1,6
2,0,2,3,1,0,3,2,0,2,3,1,6
2,3,2,3,3,0,1,2,0,2,3,1,6
5,1,2,3,3,0,2,1,0,2,3,1,6
3,3,2,3,2,0,3,1,0,2,3,1,6
2,0,2,3,1,0,2,3,0,2,3,1,6
3,1,2,3,2,1,0,3,0,2,3,1,6
3,2,2,3,1,3,2,0,0,2,3,1,6
0,3,2,3,3,0,2,1,0,2,3,1,6
0,0,2,3,2,1,0,3,0,2,3,1,6
4,2,2,3,1,2,0,3,0,2,3,1,6
2,0,2,3,1,0,2,3,0,2,3,1,6
0,2,2,3,3,2,1,0,0,2,3,1,6
0,3,2,3,1,3,2,0,0,2,3,1,6
5,1,2,3,2,0,3,1,0,2,3,1,6
4,3,2,3,0,1,2,3,0,2,3,1,6
2,0,2,3,1,0,3,2,0,2,3,1,6
1,3,2,3,2,3,0,1,0,2,3,1,6
4,1,2,3,1,0,3,2,0,2,3,1,6
5,2,2,3,3,1,2,0,0,2,3,1,6
5,0,2,3,1,2,0,3,0,2,3,1,6
0,2,2,3,1,2,3,0,0,2,3,1,6
1,1,2,3,1,3,2,0,0,2,3,1,6
1,0,2,3,0,2,1,3,0,2,3,1,6
3,1,2,3,2,0,1,3,0,2,3,1,6
4,0,2,3,2,3,0,1,0,2,3,1,6
4,2,2,3,3,2,0,1,0,2,3,1,6
1,0,2,3,0,1,3,2,0,2,3,1,6
3,2,2,3,0,3,1,2,0,2,3,1,6
0,0,2,3,2,3,1,0,0,2,3,1,6
2,2,2,3,0,1,3,2,0,2,3,1,6
5,0,2,3,1,0,2,3,0,2,3,1,6
4,2,2,3,0,2,1,3,0,2,3,1,6
5,0,2,3,1,3,2,0,0,2,3,1,6
4,2,2,3,1,2,0,3,0,2,3,1,6
0,1,2,3,1,3,0,2,0,2,3,1,6
1,2,2,3,1,0,2,3,0,2,3,1,6
4,0,2,3,2,1,3,0,0,2,3,1,6
1,1,2,3,1,2,3,0,0,2,3,1,6
2,2,2,3,2,1,3,0,0,2,3,1,6
0,1,2,3,1,3,0,2,0,2,3,1,6
4,0,2,3,2,1,3,0,0,2,3,1,6
1,1,2,3,1,2,3,0,0,2,3,1,6
1,0,2,3,0,3,1,2,0,2,3,1,6
3,1,2,3,0,1,2,3,0,2,3,1,6
1,0,2,3,0,3,1,2,0,2,3,1,6
2,3,2,3,2,3,1,0,0,2,3,1,6
3,0,2,3,3,1,2,0,0,2,3,1,6
3,1,2,3,0,2,1,3,0,2,3,1,6
5,3,2,3,0,3,1,2,0,2,3,1,6
0,0,2,3,2,1,3,0,0,2,3,1,6
1,3,2,3,3,2,0,1,0,2,3,1,6
3,0,2,3,3,2,1,0,0,2,3,1,6
4,3,2,3,1,3,2,0,0,2,3,1,6
3,0,2,3,3,2,1,0,0,2,3,1,6
2,1,2,3,0,3,2,1,0,2,3,1,6
3,3,2,3,0,1,3,2,0,2,3,1,6
5,1,2,3,3,2,0,1,0,2,3,1,6
4,3,2,3,3,1,2,0,0,2,3,1,6
4,1,2,3,0,3,1,2,0,2,3,1,6
2,2,2,3,2,1,3,0,0,2,3,1,6
1,1,2,3,1,2,3,0,0,2,3,1,6
5,0,2,3,1,3,2,0,0,2,3,1,6
0,3,2,3,1,0,2,3,0,2,3,1,6
4,2,2,3,1,2,3,0,0,2,3,1,6
5,1,2,3,0,2,3,1,0,2,3,1,6
0,2,2,3,3,2,0,1,0,2,3,1,6
5,3,2,3,2,3,1,0,0,2,3,1,6
0,0,2,3,2,3,0,1,0,2,3,1,6
1,3,2,3,3,2,0,1,0,2,3,1,6
3,2,2,3,1,3,0,2,0,2,3,1,6
2,1,2,3,0,3,2,1,0,2,3,1,6
2,2,2,3,3,1,0,2,0,2,3,1,6
2,3,2,3,3,0,1,2,0,2,3,1,6
1,1,2,3,3,1,2,0,0,2,3,1,6
3,3,2,3,2,0,3,1,0,2,3,1,6
1,2,2,3,3,0,1,2,0,2,3,1,6
3,3,2,3,0,2,3,1,0,2,3,1,6
2,0,2,3,1,3,2,0,0,2,3,1,6
1,2,2,3,3,0,2,1,0,2,3,1,6
3,0,2,3,3,2,1,0,0,2,3,1,6
3,2,2,3,0,3,2,1,0,2,3,1,6
4,0,2,3,2,0,1,3,0,2,3,1,6
5,2,2,3,3,1,0,2,0,2,3,1,6
5,3,2,3,2,0,1,3,0,2,3,1,6
0,1,2,3,0,3,1,2,0,2,3,1,6
0,2,2,3,0,2,3,1,0,2,3,1,6
1,3,2,3,2,1,0,3,0,2,3,1,6
5,2,2,3,0,1,3,2,0,2,3,1,6
1,3,2,3,1,2,0,3,0,2,3,1,6
2,1,2,3,2,0,3,1,0,2,3,1,6
5,3,2,3,3,2,1,0,0,2,3,1,6
5,2,2,3,2,1,0,3,0,2,3,1,6
3,3,2,3,1,0,3,2,0,2,3,1,6
4,1,2,3,3,0,1,2,0,2,3,1,6
0,2,2,3,3,2,1,0,0,2,3,1,6
0,1,2,3,1,3,0,2,0,2,3,1,6
0,3,2,3,3,1,2,0,0,2,3,1,6
2,2,2,3,3,1,0,2,0,2,3,1,6
5,1,2,3,3,2,0,1,0,2,3,1,6
0,0,2,3,2,3,1,0,0,2,3,1,6
3,1,2,3,1,2,0,3,0,2,3,1,6
2,2,3,4,1,0,2,3,1,3,2,0,4
3,1,3,4,3,1,0,2,1,3,2,0,4
3,0,3,4,2,0,1,3,1,3,2,0,4
3,1,3,4,3,0,2,1,1,3,2,0,4
0,2,3,4,2,1,0,3,1,3,2,0,4
1,0,3,4,3,2,0,1,1,3,2,0,4
0,3,3,4,1,0,2,3,1,3,2,0,4
1,1,3,4,1,0,3,2,1,3,2,0,4
1,3,3,4,2,1,3,0,1,3,2,0,4
3,1,3,4,3,1,2,0,1,3,2,0,4
0,3,3,4,3,0,2,1,1,3,2,0,4
0,2,3,4,3,2,0,1,1,3,2,0,4
2,3,3,4,1,2,3,0,1,3,2,0,4
3,2,3,4,0,2,3,1,1,3,2,0,4
2,1,3,4,2,0,1,3,1,3,2,0,4
3,2,3,4,1,2,3,0,1,3,2,0,4
3,0,3,4,0,2,1,3,1,3,2,0,4
2,3,3,4,0,2,3,1,1,3,2,0,4
3,1,3,4,3,2,0,1,1,3,2,0,4
0,3,3,4,3,0,2,1,1,3,2,0,4
3,2,3,4,1,0,3,2,1,3,2,0,4
1,1,3,4,1,2,0,3,1,3,2,0,4
3,3,3,4,1,3,0,2,1,3,2,0,4
1,2,3,4,2,3,1,0,1,3,2,0,4
2,0,3,4,1,3,0,2,1,3,2,0,4
1,1,3,4,1,3,2,0,1,3,2,0,4
0,0,3,4,3,1,2,0,1,3,2,0,4
0,2,3,4,2,1,0,3,1,3,2,0,4
3,1,3,4,3,0,2,1,1,3,2,0,4
0,2,3,4,3,1,0,2,1,3,2,0,4
3,0,3,4,2,1,0,3,1,3,2,0,4
1,2,3,4,3,2,1,0,1,3,2,0,4
3,0,3,4,2,1,0,3,1,3,2,0,4
0,1,3,4,0,1,2,3,1,3,2,0,4
3,3,3,4,1,3,0,2,1,3,2,0,4
3,1,3,4,3,0,2,1,1,3,2,0,4
3,0,3,4,0,1,2,3,1,3,2,0,4
2,2,3,4,0,3,2,1,1,3,2,0,4
3,0,3,4,2,1,0,3,1,3,2,0,4
0,2,3,4,1,2,0,3,1,3,2,0,4
1,0,3,4,3,0,2,1,1,3,2,0,4
1,3,3,4,0,1,2,3,1,3,2,0,4
2,0,3,4,1,3,0,2,1,3,2,0,4
1,3,3,4,0,1,3,2,1,3,2,0,4
3,0,3,4,2,1,0,3,1,3,2,0,4
2,3,3,4,0,2,3,1,1,3,2,0,4
3,1,3,4,3,1,2,0,1,3,2,0,4
1,3,3,4,2,1,3,0,1,3,2,0,4
0,0,4,4,3,1,0,2,1,3,2,0,4
3,2,4,4,2,3,1,0,1,3,2,0,4
2,1,4,4,0,3,1,2,1,3,2,0,4
2,0,4,4,3,2,1,0,1,3,2,0,4
0,3,4,4,3,2,0,1,1,3,2,0,4
2,1,4,4,0,3,1,2,1,3,2,0,4
1,0,4,4,2,1,0,3,1,3,2,0,4
0,1,4,4,2,0,1,3,1,3,2,0,4
3,3,4,4,2,1,0,3,1,3,2,0,4
3,1,4,4,1,2,3,0,1,3,2,0,4
1,0,4,4,1,2,0,3,1,3,2,0,4
0,2,4,4,0,3,2,1,1,3,2,0,4
0,1,4,4,2,3,0,1,1,3,2,0,4
0,3,4,4,1,2,0,3,1,3,2,0,4
3,0,4,4,0,3,2,1,1,3,2,0,4
2,2,4,4,2,3,0,1,1,3,2,0,4
2,1,4,4,0,2,3,1,1,3,2,0,4
1,3,4,4,1,3,2,0,1,3,2,0,4
3,0,4,4,0,2,3,1,1,3,2,0,4
3,2,4,4,2,3,1,0,1,3,2,0,4
1,3,4,4,0,3,1,2,1,3,2,0,4
0,2,4,4,0,3,2,1,1,3,2,0,4
3,3,4,4,0,1,2,3,1,3,2,0,4
1,2,4,4,1,0,3,2,1,3,2,0,4
0,3,4,4,1,2,0,3,1,3,2,0,4
1,1,4,4,3,0,2,1,1,3,2,0,4
2,3,4,4,2,0,3,1,1,3,2,0,4
0,1,4,4,2,3,0,1,1,3,2,0,4
2,2,4,4,1,2,0,3,1,3,2,0,4
3,0,4,4,3,2,0,1,1,3,2,0,4
3,3,4,4,0,1,2,3,1,3,2,0,4
1,2,4,4,0,2,3,1,1,3,2,0,4
1,3,4,4,0,3,1,2,1,3,2,0,4
2,1,4,4,0,3,1,2,1,3,2,0,4
0,2,4,4,1,3,2,0,1,3,2,0,4
2,0,4,4,1,3,2,0,1,3,2,0,4
0,1,4,4,2,0,3,1,1,3,2,0,4
2,2,4,4,1,2,0,3,1,3,2,0,4
2,3,4,4,2,0,3,1,1,3,2,0,4
2,0,4,4,1,3,2,0,1,3,2,0,4
3,2,4,4,0,2,1,3,1,3,2,0,4
0,0,4,4,0,3,1,2,1,3,2,0,4
3,3,4,4,0,1,3,2,1,3,2,0,4
1,0,4,4,0,2,1,3,1,3,2,0,4
0,1,4,4,2,1,3,0,1,3,2,0,4
0,3,4,4,3,2,1,0,1,3,2,0,4
3,1,4,4,1,0,3,2,1,3,2,0,4
1,3,4,4,1,3,2,0,1,3,2,0,4
2,2,4,4,1,3,0,2,1,3,2,0,4
1,1,4,4,3,0,1,2,1,3,2,0,4
3,2,4,4,2,0,1,3,1,3,2,0,4
2,3,4,4,3,0,1,2,1,3,2,0,4
3,1,4,4,1,0,3,2,1,3,2,0,4
2,3,4,4,3,0,1,2,1,3,2,0,4
1,1,4,4,3,0,1,2,1,3,2,0,4
0,3,4,4,3,2,1,0,1,3,2,0,4
0,0,4,4,1,3,0,2,1,3,2,0,4
2,3,4,4,2,0,1,3,1,3,2,0,4
1,0,4,4,2,0,1,3,1,3,2,0,4
3,1,4,4,1,3,2,0,1,3,2,0,4
2,0,4,4,1,3,2,0,1,3,2,0,4
2,1,4,4,0,3,1,2,1,3,2,0,4
3,2,4,4,0,2,1,3,1,3,2,0,4
1,0,4,4,2,0,1,3,1,3,2,0,4
1,2,4,4,0,2,3,1,1,3,2,0,4
3,0,4,4,0,2,3,1,1,3,2,0,4
1,2,4,4,1,2,3,0,1,3,2,0,4
0,0,4,4,0,3,1,2,1,3,2,0,4
1,1,4,4,3,2,0,1,1,3,2,0,4
1,2,4,4,2,0,3,1,1,3,2,0,4
3,0,4,4,0,2,3,1,1,3,2,0,4
0,2,4,4,1,0,2,3,1,3,2,0,4
